workerid,proliferate.condition,age,comments,enjoyment,equipment_model,equipment_type,fairprice,gender,impairment,interaction_10,interaction_20,interaction_30,interaction_40,interaction_50,interaction_60,language,language_other,language_parents,error
427,condition1,30,,1,,laptop_speaker,1,Male,0,0,40,40,0,0,20,서울말,"영어(고급), 프랑스어(고급)",부모님 서울말,
492,condition1,32,,1,에어팟 프로,earphone,1,Female,0,0,0,80,0,18,2,서울말,"영어(고급), 중국어(중급)",서울말,
409,condition1,30,,2,,earphone,1,Male,0,0,0,40,40,10,10,전라도사투리,영어 고급,어머니 전라도사투리 아버지 전라도사투리,
457,condition1,32,,1,,speaker,1,Male,0,0,20,50,20,5,5,서울말,영어(중급),서울말,
433,condition1,58,,1,,earphone,1,Female,0,4,6,5,15,35,35,서울말,영어(초급),부모님 서울말,
499,condition1,-59,,-1,,headphone,-1,Female,0,0,0,20,0,60,20,왜이리 늦었유~,good morning,얼마유~,
318,condition1,1,,-1,,,-1,Female,0,,,,,,,k,k,k,
512,condition1,72,정확한 발음에 관한 실험인듯 한데 주제가 무엇인지요?,-1,,speaker,-1,Female,0,0,0,10,0,20,70,전라도사투리,영어(중급) 일본어(초급),전라도사투리,
423,condition1,36,,1,,laptop_speaker,0,Female,0,10,15,50,15,5,5,"서울말, 전라북도 사투리",영어(중급),어머니 서울말 아버지 전라북도 사투리,
334,condition1,57,실수한 답변들이 있었는데 수정할 수가 없었습니다.,2,삼성 갤럭시폰 스피커,laptop_speaker,1,Female,0,0,0,10,0,40,50,전라북도 사투리,"영어(고급), 러시아어(고급), 프랑스어(초급)",어머니 전라북도 사투리,
434,condition1,64,그냥 감사해요^^=,2,,earphone,1,Male,0,0,10,10,20,30,30,서울말,영어 중급,전라남도 사투리,
393,condition1,28,듣기가 헷갈렸어요..ㅠㅠ,-1,,laptop_speaker,-1,Female,0,0,50,0,0,40,10,서울말,"영어(중급), 프랑스어(초급)",모두 서울말,
487,condition1,54,"특별한 경험이었네-^^ 사랑이, 수고~!!",1,아이폰 이어폰 유선,earphone,-1,Male,0,10,20,15,10,40,5,서울말,영어(중급),"아버지 서울말, 어머니 경북 안동 사투리 조금",
440,condition1,50,"발음이, 구분하기 어려운 것들이 있었어요~~~^___^ 잘 마무리해서, 좋은 논문 쓰게 되기를 바래요, 힘내요, 파이팅~~~!!!!",2,일반 유선 이어폰,earphone,1,Male,0,15,5,5,50,15,10,서울말,영어(초급),부모님 강화도,
425,condition1,33,,1,아이리버 유선 이어폰,earphone,0,Female,0,0,10,60,20,0,10,전라도사투리,영어(초급),전라도사투리,
491,condition1,69,비교적 청각 능력이 뛰어나다고 생각했었는데 조금 헷갈리는 부분이 많았다. 그래도 재미있게 참여했다.,2,,laptop_speaker,1,Female,0,0,0,0,10,20,70,충청도 사투리,영어(초급),어머니 충청도 사투리,
421,condition1,30,,-1,,earphone,-1,Female,0,0,5,60,0,30,5,서울,"영어(중금), 일본어(기초)",부모님 서울말,
469,condition1,60,,1,britz,speaker,1,Female,0,0,10,10,20,30,30,서울말,영어 중급,어머니 서울말,
448,condition1,61,비슷한 종류의 단어만 들으니 정확히 말하는 단어가 무엇인지 구분이 어렵다는 것을 알았다. 문장과 함께 구사된 단어는 알아듣기 쉽구나하는 것을 유추해 생각했습니다.,2,이어폰,laptop_speaker,0,Female,0,0,15,15,20,20,30,서울말,영어(완전초급),어머니서울말,
346,condition1,57,불확실하게 들리는 발음들이 조금 있어 보입니다,2,삼성 이어폰,earphone,-1,Female,0,0,0,10,0,40,50,전라북도 사투리,"영어(고급), 러시아어(고급), 프랑스어(초급)",어머니 전라북도 사투리,
418,condition1,26,,1,,earphone,0,Male,0,0,45,35,10,10,0,"서울말, 충청도 사투리","영어 (고급), 독일어 (고급)","어머니 서울말, 아버지 서울말, 할머니 충청도 사투리",
320,condition1,1,TEST,-1,,,-1,Male,0,,,,,,,K,K,K,
507,condition1,25,,1,,laptop_speaker,1,Male,0,0,70,10,0,20,0,강원도 사투리,영어(중급),"어머니 서울말, 아버지 강원도 사투리",
467,condition1,60,,1,britz,speaker,1,Male,0,0,10,10,20,30,30,서울말,영어 중급,전라남도 사투리,
474,condition1,57,,-1,,speaker,1,Male,0,0,10,10,25,50,5,서울말,"영어(중),일본어(초)",서울말,
343,condition1,62,,2,이어폰,earphone,1,Female,0,0,0,10,0,80,10,전라북도 사투리,"영어(초급), 러시아어(초급)",어머니 전라북도 사투리,
326,condition1,32,,-1,,earphone,-1,Male,0,0,40,40,10,10,0,"서울말, 대구말",영어(고급),"어머니 서울말, 아버지 경상북도 대구 사투리, 할머니 전라북도 사투리",
453,condition1,33,,2,,speaker,1,Male,0,0,20,65,10,5,0,충청남도 사투리,영어(중급),부모 양친 모두 충청남도 사투리,
401,condition1,34,"선택지가 세 개인데 중간에 선택지에 없는 소리(예: 선택지는 '디, 띠, 티' 세 개인데 '삐' 처럼 들리는 경우)처럼 들려서 '소리를 못 들었을 경우 아무 단어나 고른 뒤 박스에 체크하시오'에 체크한 경우가 있었어요. 아무 단어나 고르지는 않고 비슷하게 들리는 소리에 체크했습니다. 제가 잘못 들은 것 같긴 한데 만약 선택지에 있는 소리만 송출되는 거라면 지시사항에 이를 명시해주시면 더 명확할 것 같아요.",1,맥북프로 내장 스피커,laptop_speaker,1,Female,0,0,30,40,0,0,30,서울말,"영어(고급), 일본어(초급)",아버지 어머니 모두 서울말,
501,condition1,53,다음버튼을 누르자 마자 바로 소리가 들리니 누르는 소리에 다음 소리가 잘 안들리며 집중을 못하였음. 한템포 쉰 후에 다음 단어소리가 들렸으면 더 정확하게 들을수있을듯함. ,1,,laptop_speaker,1,Female,0,50,10,0,10,30,0,서울말,없음,"어머니황해도,아버지함경도",
486,condition1,51,,-1,,earphone,-1,Female,0,0,20,20,20,40,0,서울말,영어(초급),서울말,
495,condition1,20,,1,에어팟 4세대,earphone,0,Female,0,10,80,0,0,10,0,서울말,"영어 (고급), 일본어 (초급)","어머니 서울말, 아버지 서울말",
471,condition1,26,"화면을 응시하며 단어를 골랐을 때와 다른 곳을 응시하며 청각에만 집중했을 때 선택 결과가 달라지는 것 같다. (예: 소리에 집중했을 때, 모든 음절이 '끼'(경음) 또는 '키'(격음)으로만 들렸음. 그러나 '기', ;끼', '키'라고 적혀있는 화면을 보면서 변별하려고 노력을 하니 '기'도 살짝 들리는 것 같기도 함.) ",-1,,laptop_speaker,-1,Female,0,0,40,40,0,10,10,서울말,"영어(고급), 아랍어(중급), 프랑스어(초급)","서울말, 할머니 충청도 사투리 약간",
449,condition1,196707,,-1,,laptop_speaker,-1,Female,0,0,30,10,0,40,20,서울말,영어(초급),어머니 서울말,
426,condition1,25,,1,에어팟 프로 2세대,earphone,1,Male,0,0,80,0,0,20,0,서울말,영어(중급),"아버지 서울말, 어머니 부산 사투리",
407,condition1,24,,1,BOSE 브랜드 헤드셋,headphone,1,Female,0,0,50,0,0,50,0,서울말,"영어(중급), 중국어(완전 초급)",서울말,
321,condition1,1,test,-1,,,-1,Male,0,,,,,,,1,1,1,
475,condition1,57,반복적으로 듣다보니 소리가 헷갈렸습니다,-1,,earphone,-1,Female,0,5,0,36,0,59,0,서울말,없음,"어머니,아버지  전라북도",
460,condition1,24,,1,,speaker,1,Female,0,10,85,0,0,5,0,서울말,"영어(고급), 스페인어(중급)",모두 서울말,
