workerid,proliferate.condition,triral_1_time_in_minutes,error
13,young,4.1893666666666665,
27,young,1.9806,
24,young,4.232683333333333,
21,young,2.335166666666667,
6,young,3.527516666666666,
16,young,2.2232666666666665,
25,young,2.0282333333333336,
17,young,2.5968166666666668,
15,young,3.8996833333333334,
10,young,2.3537333333333335,
8,young,1.9993333333333336,
26,young,3.0041166666666665,
19,young,3.27135,
7,young,2.23215,
22,young,1.874966666666667,
23,young,3.2775666666666665,
12,young,2.38115,
20,young,3.167666666666667,
18,young,3.1925333333333334,
11,young,2.4330166666666666,
