workerid,proliferate.condition,age,assess,comments,enjoyment,equipment,fairprice,gender,impairment,language,language_other,language_parents,error
13,young,23,Yes,,1,samsung 이어폰,1,Male,0,한국어 서울말,"영어(고급), 포르투갈어(고급)",서울말,
27,young,26,,,-1,,-1,Female,0,전라남도 사투리,"영어(고급), 스페인어(중급)",전라남도 사투리,
24,young,23,Yes,N/A,1,Sony,0,Female,0,서울말,영어(고급),서울말,
21,young,26,Yes,,1,애플 이어폰 ,1,Female,0,서울말,영어 (고급),서울말,
6,young,27,Yes,,1,갤럭시버즈,1,Male,0,서울말,영어(중급),할머니 경상남도 사투리,
16,young,29,Yes,,1,에어팟 2,1,Female,0,서울말 ,영어 고급 한국어 고급,서울말,
25,young,25,Yes,,1,하이퍼엑스 S-Cloud,1,Male,0,서울말,영어(고급),"부모님 서울말, 조부모님 서울말",
17,young,27,Yes,,-1,,1,Female,0,서울말,"영어(고급), 독일어(고급)","어머니 서울말, 아버지 충청도 사투리",
15,young,27,Yes,,2,Samsung,1,Male,2,서울말,영어 고급,서울말,
10,young,28,Yes,,-1,,-1,Male,0,전라도,영어 고급,전라도,
8,young,24,,,-1,,-1,Female,0,서울말,영어 고급,"아빠 대구, 엄마 서울",
26,young,27,Yes,,1,,1,Female,0,서울말,영어 고급,어머니 서울말 아버지 대부분 서울말 약간의 문경 사투리,
19,young,21,,,-1,,-1,Male,0,서울,영어,서울,
7,young,29,Yes,클릭을 매번 정확하게 해야해서 선택하기가 좀 불편했습니다.,1,이어폰,1,Female,0,서울말,영어 고급,서울말,
22,young,23,Yes,,1,Sennheiser 599,1,Male,0,서울말,영어(고급) 스페인어(중급),서울말,
23,young,24,Yes,,1,에어팟,0,Female,0,서울말,"영어(고급), 스페인어(초급)","서울, 강원",
12,young,22,Yes,"실수로 선택 안 하고 제출 눌렀는데 다음 거로 넘어간 경우가 두세번 있었습니다. 선택이 아예 안 된건지, 아니면 버튼이 눌렸으나 제 화면 상 파란색 동그라미가 보이지 않은건지는 모르겠습니다. 참고해주시기 바랍니다.",-1,,-1,Other,1,경상도 방언과 전라남도 방언의 혼합,"영어(원어민), 일본어(초급)",서울말의 영향을 많이 받아 사투리 느낌이 약한 전남 방언 (양부모),
20,young,26,Yes,,2,,0,Male,0,미국,영어(고급),서울말,
18,young,21,Yes,,1,,1,Female,0,서울말,영어 (고급),어머니 아버지 서울말,
11,young,22,Yes,,1,Sony,1,Male,0,서울말,영어(중),서울말,
