"","f0","vot","lenis","tense","asp","predominant","predominant_num","label"
"1",1,1,0.352941176470588,0.647058823529412,0,"tense",0.647058823529412,"T"
"2",1,2,0.607843137254902,0.372549019607843,0.0196078431372549,"lenis",0.607843137254902,"L"
"3",1,3,0.941176470588235,0.0588235294117647,0,"lenis",0.941176470588235,"L"
"4",1,4,0.980392156862745,0.0196078431372549,0,"lenis",0.980392156862745,"L"
"5",1,5,0.980392156862745,0,0.0196078431372549,"lenis",0.980392156862745,"L"
"6",1,6,0.980392156862745,0,0.0196078431372549,"lenis",0.980392156862745,"L"
"7",1,7,0.92156862745098,0,0.0784313725490196,"lenis",0.92156862745098,"L"
"8",1,8,0.843137254901961,0,0.156862745098039,"lenis",0.843137254901961,"L"
"9",2,1,0.196078431372549,0.784313725490196,0.0196078431372549,"tense",0.784313725490196,"T"
"10",2,2,0.490196078431373,0.509803921568627,0,"tense",0.509803921568627,"T"
"11",2,3,0.843137254901961,0.117647058823529,0.0392156862745098,"lenis",0.843137254901961,"L"
"12",2,4,0.92156862745098,0.0196078431372549,0.0588235294117647,"lenis",0.92156862745098,"L"
"13",2,5,0.941176470588235,0.0196078431372549,0.0392156862745098,"lenis",0.941176470588235,"L"
"14",2,6,0.745098039215686,0.0392156862745098,0.215686274509804,"lenis",0.745098039215686,"L"
"15",2,7,0.764705882352941,0.0196078431372549,0.215686274509804,"lenis",0.764705882352941,"L"
"16",2,8,0.686274509803922,0.0196078431372549,0.294117647058824,"lenis",0.686274509803922,"L"
"17",3,1,0.0196078431372549,0.980392156862745,0,"tense",0.980392156862745,"T"
"18",3,2,0.274509803921569,0.705882352941177,0.0196078431372549,"tense",0.705882352941177,"T"
"19",3,3,0.784313725490196,0.156862745098039,0.0588235294117647,"lenis",0.784313725490196,"L"
"20",3,4,0.745098039215686,0.0196078431372549,0.235294117647059,"lenis",0.745098039215686,"L"
"21",3,5,0.666666666666667,0.0196078431372549,0.313725490196078,"lenis",0.666666666666667,"L"
"22",3,6,0.549019607843137,0.0196078431372549,0.431372549019608,"lenis",0.549019607843137,"L"
"23",3,7,0.470588235294118,0.0196078431372549,0.509803921568627,"asp",0.509803921568627,"A"
"24",3,8,0.470588235294118,0,0.529411764705882,"asp",0.529411764705882,"A"
"25",4,1,0.0588235294117647,0.941176470588235,0,"tense",0.941176470588235,"T"
"26",4,2,0.137254901960784,0.823529411764706,0.0392156862745098,"tense",0.823529411764706,"T"
"27",4,3,0.411764705882353,0.411764705882353,0.176470588235294,"tense & lenis",0.411764705882353,"TL"
"28",4,4,0.450980392156863,0.0980392156862745,0.450980392156863,"asp & lenis",0.450980392156863,"AL"
"29",4,5,0.333333333333333,0.0392156862745098,0.627450980392157,"asp",0.627450980392157,"A"
"30",4,6,0.254901960784314,0.0196078431372549,0.725490196078431,"asp",0.725490196078431,"A"
"31",4,7,0.196078431372549,0.0588235294117647,0.745098039215686,"asp",0.745098039215686,"A"
"32",4,8,0.176470588235294,0.0196078431372549,0.803921568627451,"asp",0.803921568627451,"A"
"33",5,1,0,1,0,"tense",1,"T"
"34",5,2,0.0392156862745098,0.941176470588235,0.0196078431372549,"tense",0.941176470588235,"T"
"35",5,3,0.0980392156862745,0.607843137254902,0.294117647058824,"tense",0.607843137254902,"T"
"36",5,4,0.0980392156862745,0.117647058823529,0.784313725490196,"asp",0.784313725490196,"A"
"37",5,5,0.0980392156862745,0.0196078431372549,0.882352941176471,"asp",0.882352941176471,"A"
"38",5,6,0,0.0392156862745098,0.96078431372549,"asp",0.96078431372549,"A"
"39",5,7,0.0588235294117647,0.0196078431372549,0.92156862745098,"asp",0.92156862745098,"A"
"40",5,8,0.0196078431372549,0.0196078431372549,0.96078431372549,"asp",0.96078431372549,"A"
"41",6,1,0,0.980392156862745,0.0196078431372549,"tense",0.980392156862745,"T"
"42",6,2,0.0196078431372549,0.980392156862745,0,"tense",0.980392156862745,"T"
"43",6,3,0.0392156862745098,0.490196078431373,0.470588235294118,"tense",0.490196078431373,"T"
"44",6,4,0,0.0980392156862745,0.901960784313726,"asp",0.901960784313726,"A"
"45",6,5,0,0,1,"asp",1,"A"
"46",6,6,0.0392156862745098,0,0.96078431372549,"asp",0.96078431372549,"A"
"47",6,7,0.0196078431372549,0,0.980392156862745,"asp",0.980392156862745,"A"
"48",6,8,0.0196078431372549,0,0.980392156862745,"asp",0.980392156862745,"A"
"49",7,1,0,1,0,"tense",1,"T"
"50",7,2,0,0.96078431372549,0.0392156862745098,"tense",0.96078431372549,"T"
"51",7,3,0.0196078431372549,0.549019607843137,0.431372549019608,"tense",0.549019607843137,"T"
"52",7,4,0,0.117647058823529,0.882352941176471,"asp",0.882352941176471,"A"
"53",7,5,0.0196078431372549,0.0392156862745098,0.941176470588235,"asp",0.941176470588235,"A"
"54",7,6,0.0196078431372549,0,0.980392156862745,"asp",0.980392156862745,"A"
"55",7,7,0.0196078431372549,0.0196078431372549,0.96078431372549,"asp",0.96078431372549,"A"
"56",7,8,0,0,1,"asp",1,"A"
"57",8,1,0,1,0,"tense",1,"T"
"58",8,2,0.0196078431372549,0.941176470588235,0.0392156862745098,"tense",0.941176470588235,"T"
"59",8,3,0,0.588235294117647,0.411764705882353,"tense",0.588235294117647,"T"
"60",8,4,0,0.137254901960784,0.862745098039216,"asp",0.862745098039216,"A"
"61",8,5,0,0.0196078431372549,0.980392156862745,"asp",0.980392156862745,"A"
"62",8,6,0,0.0196078431372549,0.980392156862745,"asp",0.980392156862745,"A"
"63",8,7,0.0196078431372549,0,0.980392156862745,"asp",0.980392156862745,"A"
"64",8,8,0,0,1,"asp",1,"A"
